BTC;Bitcoin
ETH;Ethereum
USDC;USD Coin
LUNA;Terra
SOL;Solana
UST;TerraUSD
ATOM;Cosmos Hub
LTC;Litecoin
NEAR;Near
LINK;Chainlink
TRX;TRON
LEO;LEO Token
BCH;Bitcoin Cash
AXS;Axie Infinity
MANA;Decentraland
SAND;The Sandbox
CETH;cETH
VET;VeChain
EOS;EOS
FLOW;Flow
OMI;ECOMI
CAKE;PancakeSwap
BTT;BitTorrent
AR;Arweave
BSV;Bitcoin SV
NEO;NEO
ENJ;Enjin Coin
STX;Stacks
KSM;Kusama
AMP;Amp
DASH;Dash
CVX;Convex Finance
BIT;BitDAO
USDP;Pax Dollar
SNX;Synthetix Network Token
GT;GateToken
COMP;Compound
SLP;Smooth Love Potion
QTUM;Qtum
BNT;Bancor Network Token
SFM;SafeMoon
BTG;Bitcoin Gold
RLY;Rally
DAG;Constellation
NU;NuCypher
ENS;Ethereum Name Service
HIVE;Hive
FLUX;Flux
TEL;Telcoin
FLEX;FLEX Coin
TOKE;Tokemak
MBOX;Mobox
MXC;MXC
EVER;Everscale
SRM;Serum
MIR;Mirror Protocol
HERO;Metahero
RAY;Raydium
FET;Fetch.ai
CET;CoinEx Token
CHR;Chromia
XCH;Chia
SNT;Status
MED;Medibloc
COTI;COTI
EWT;Energy Web Token
UBT;Unibright
DAO;DAO Maker
OGN;Origin Protocol
UFO;UFO Gaming
MX;MX Token
TIME;Wonderland
DIVI;Divi
JOE;JOE
RGT;Rari Governance Token
VERI;Veritaseum
PRCH;Power Cash
NMR;Numeraire
SURE;inSure DeFi
BFC;Bifrost
ION;Ion
WMT;World Mobile Token
MC;Merit Circle
USDX;USDX
BAND;Band Protocol
ELF;aelf
TRAC;OriginTrail
BDX;Beldex
TRU;TrueFi
ACA;Acala
PROM;Prometeus
RMRK;RMRK
META;Metadium
DAWN;Dawn Protocol
DG;Decentral Games
SUN;Sun Token
GXC;GXChain
GHST;Aavegotchi
FUN;FUNToken
KAI;KardiaChain
SWP;Kava Swap
ORN;Orion Protocol
EPS;Ellipsis
RAIL;Railgun
SETH;sETH
BCD;Bitcoin Diamond
CBAT;cBAT
ETN;Electroneum
IDEX;IDEX
VRA;Verasity
IQ;Everipedia
CUBE;Somnium Space CUBEs
ALBT;AllianceBlock
AMPL;Ampleforth
PRO;Propy
TIME;chrono.tech
MLN;Enzyme
CDT;Blox
FOX;ShapeShift FOX Token
PRE;Presearch
AGIX;SingularityNET
OXY;Oxygen
MAPS;MAPS
GF;GuildFi
AVA;Travala.com
RARE;SuperRare
